geo country;vehicle age;survival rate
Germany;22;0,11672869
Germany;23;0,082135121
Germany;24;0,062448735
Germany;25;0,051302971
Germany;26;0,05389836
Germany;27;0,045473156
Germany;28;0,035529039
Germany;29;0,02674702
Germany;30;0,020591264
Germany;31;0,016696955
Germany;32;0,015249273
Germany;33;0,014332863
Germany;34;0,014355684
Germany;35;0,013205526
Germany;36;0,010845222
Germany;37;0,009615087
Germany;38;0,008892277
Germany;39;0,010150853
Germany;40;0,01044177
Germany;41;0,010749854
Germany;42;0,011076671
Germany;43;0,01107554
Germany;44;0,01107441
Germany;45;0,011073279
Denmark;1;0,888930342
Denmark;2;0,863693552
Denmark;3;0,917233253
Denmark;4;0,890568691
Denmark;5;0,923272719
Denmark;6;0,836619669
Denmark;7;0,664399078
Denmark;8;1,210487399
Denmark;9;0,956386107
Denmark;10;0,825327269
Denmark;11;0,791410103
Denmark;12;0,675604733
Denmark;13;0,620272068
Denmark;14;0,879472752
Denmark;15;0,590512375
Denmark;16;0,732546767
Denmark;17;0,655610606
Denmark;18;0,47575434
Denmark;19;0,290499143
Denmark;20;0,225363188
Denmark;21;0,157983738
Denmark;22;0,133525407
Denmark;23;0,062441544
Denmark;24;0,092003314
Denmark;25;0,068683594
Denmark;26;0,069248938
Denmark;27;0,071811176
Denmark;28;0,073993346
Denmark;29;0,065393714
Denmark;30;0,046692513
Denmark;31;0,034249404
Denmark;32;0,036826279
Denmark;33;0,043166912
Denmark;34;0,049894281
Denmark;35;0,066294789
Denmark;36;0
Denmark;37;0
Denmark;38;0
Denmark;39;0
Denmark;40;0
Denmark;41;0
Denmark;42;0
Denmark;43;0
Denmark;44;0
Denmark;45;0
Spain;1;1,029105264
Spain;2;0,983162385
Spain;3;0,942991297
Spain;4;0,899665001
Spain;5;0,867529364
Spain;6;0,874329714
Spain;7;0,915051196
Spain;8;0,945088647
Spain;9;0,877757549
Spain;10;0,88470401
Spain;11;0,89218516
Spain;12;0,946281486
Spain;13;0,898572847
Spain;14;0,845196725
Spain;15;0,769378854
Spain;16;0,726241308
Spain;17;0,659603289
Spain;18;0,588851453
Spain;19;0,500329551
Spain;20;0,416925509
Spain;21;0,337324135
Spain;22;0,27323762
Spain;23;0,246491631
Spain;24;0,217112223
Spain;25;0,183085483
Spain;26;0,158653548
Spain;27;0,138237348
Spain;28;0,142569564
Spain;29;0,125355657
Spain;30;0,104538123
Spain;31;0,075732033
Spain;32;0,0631243
Spain;33;0,05853425
Spain;34;0,065402976
Spain;35;0,067622701
Spain;36;0,068328482
Spain;37;0,079925691
Spain;38;0,087839254
Spain;39;0,093587016
Spain;40;0,094953116
Spain;41;0,092215256
Spain;42;0,090136027
Spain;43;0,097402805
Spain;44;0,116599598
Spain;45;0,108207836
Estonia;1;0,904801109
Estonia;2;0,924135967
Estonia;3;0,968251715
Estonia;4;1,049352628
Estonia;5;1,157263461
Estonia;6;1,255111007
Estonia;7;1,49665016
Estonia;8;1,469742662
Estonia;9;1,364050427
Estonia;10;1,35942554
Estonia;11;1,402688003
Estonia;12;1,575573996
Estonia;13;1,812886036
Estonia;14;1,809529828
Estonia;15;1,839806816
Estonia;16;1,982763999
Estonia;17;2,531445313
Estonia;18;3,76544289
Estonia;19;2,986904762
Estonia;20;2,49872989
Estonia;21;4,668065371
Estonia;22;1,423801246
Estonia;23;1,308074711
Estonia;24;1,192587966
Estonia;25;1,268550998
Estonia;26;1,051381548
Estonia;27;0,761653533
Estonia;28;0,676291284
Estonia;29;0,646852911
Estonia;30;0,573260073
Estonia;31;0,515520306
Estonia;32;0,436488812
